chem_code,chem_group,chem_name,chem_alias1,chem_alias2,chem_note
618,Pesticides,SULFURYL FLUORIDE,,,
621,Pesticides,WARFARIN,,,
622,Pesticides,XYLENE,,,
623,Pesticides,MEXACARBATE,,,
624,Pesticides,ZINC CHLORIDE,,,
626,Pesticides,ZINC PHOSPHIDE,,,
627,Pesticides,ZINEB,,,
629,Pesticides,ZIRAM,,,
631,Pesticides,ARSENIC PENTOXIDE,,,
632,Pesticides,DMPA,,,
633,Pesticides,1080,,,
636,Pesticides,2;4-D,,,
638,Pesticides,2;4-XYLENOL,,,
639,Pesticides,2;4;5-T,,,
640,Pesticides,2;4;6-TRICHLOROPHENOL,,,
641,Pesticides,MCPB; SODIUM SALT,,,
643,Pesticides,4-CPA,,,
654,Pesticides,DIAMMONIUM PHOSPHATE,,,
655,Pesticides,IRON,,,
658,Pesticides,MANGANESE SULFATE,,,
662,Pesticides,UREA,,,
666,Pesticides,ZINC OXIDE,,,
667,Pesticides,ZINC SULFATE,,,
675,Pesticides,PHENMEDIPHAM,,,
677,Pesticides,CHLOROTHALONIL,,,
678,Pesticides,ALACHLOR,,,
681,Pesticides,DIPROPYL ISOCINCHOMERONATE,,,
688,Pesticides,SODIUM CYANIDE,,,
689,Pesticides,SODIUM METABORATE,,,
690,Pesticides,DICHLORMATE,,,
691,Pesticides,KARBUTILATE,,,
694,Pesticides,PROPYZAMIDE,,,
695,Pesticides,AMMONIUM FLUOSILICATE,,,
696,Pesticides,SODIUM NITRATE,,,
699,Pesticides,CADMIUM SEBACATE,,,
700,Pesticides,POTASSIUM CHROMATE,,,
702,Pesticides,AURAMINE,,,
708,Pesticides,SUGAR,,,
709,Pesticides,MERCURIC DIMETHYL DITHIOCARBAMATE,,,
710,Pesticides,ARSENIC,,,
712,Pesticides,CARBON,,,
714,Pesticides,COPPER,,,
718,Pesticides,IODINE,,,
721,Pesticides,SODIUM CHLORIDE,,,
726,Pesticides,POTASSIUM NITRATE,,,
731,Pesticides,VITAMIN B1 HYDROCHLORIDE,,,
736,Pesticides,PARINOL,,,
744,Pesticides,MOLASSES,,,
746,Pesticides,METHYL SALICYLATE,,,
747,Pesticides,ACETONE,,,
748,Pesticides,ALPHA-ALKYLARYL-OMEGA-HYDROXYPOLY(OXYETHYLENE),ALKYLARYL POLY(OXYETHYLENE) GLYCOL,,"2003 change, synonymous"
749,Pesticides,NAA; ETHYL ESTER,,,
752,unknown,unknown,,,
753,Pesticides,COPPER DIHYDRAZINIUM SULFATE,,,
755,Pesticides,COPPER SODIUM SULFATE-PHOSPHATE COMPLEX,,,
756,Pesticides,CUBE EXTRACTS,,,
758,Pesticides,DINITRO-1-METHYL HEPTYL PHENOL,,,
759,Pesticides,EDTA; TETRASODIUM SALT,,,
760,Pesticides,CHLORFLURENOL; METHYL ESTER,,,
761,Pesticides,NAA; SODIUM SALT,,,
762,Pesticides,NICKEL,,,
763,Pesticides,PETROLEUM DISTILLATES,,,
764,Pesticides,PLASTIC POLYMERS,,,
765,Pesticides,PETROLEUM OIL; UNCLASSIFIED,,,
766,Pesticides,PETROLEUM SULFONATES,,,
767,Pesticides,BHC,,,
768,Pesticides,NOA; SODIUM SALT,,,
769,Pesticides,BORIC ACID,,,
771,Pesticides,GIBBERELLINS; POTASSIUM SALT,,,
772,Pesticides,SOAP,,,
773,Pesticides,SODIUM CHLOROPHENATES,,,
774,Pesticides,SODIUM DODECYLBENZENE SULFONATE,,,
775,Pesticides,SULFAQUINOXALINE,,,
776,Pesticides,TETRACHLOROPHENOL; SODIUM SALT,,,
777,Pesticides,TETRACHLOROPHENOL,,,
778,Pesticides,MALEIC HYDRAZIDE; DIETHANOLAMINE SALT,,,
780,Pesticides,DICAMBA; DIETHANOLAMINE SALT,,,
782,Pesticides,2-METHYL-1-NAPHTHALENE ACETAMIDE,,,
783,Pesticides,2-METHYL-1-NAPHTHALENE ACETIC ACID,,,
784,Pesticides,MCPA; ALKANOLAMINE SALT,,,
785,Pesticides,MCPA; BUTOXYETHANOL ESTER,,,
786,Pesticides,MCPA; DIMETHYLAMINE SALT,,,
787,Pesticides,MCPA; ISOOCTYL ESTER,,,
788,Pesticides,MCPA; SODIUM SALT,,,
789,Pesticides,2;4-DP; TRIETHANOLAMINE SALT,,,
790,Pesticides,MCPP; DIETHANOLAMINE SALT,,,
792,Pesticides,2;2'-OXYBIS (4;4;6-TRIMETHYL-1;3;2-DIOXABORINANE),,,
797,Pesticides,2;3;5-TRIIODO BENZOIC ACID; DIMETHYLAMINE SALT,,,
799,Pesticides,FENAC; AMMONIUM SALT,,,
800,Pesticides,2;3;6-TRICHLOROBENZOIC ACID; DIMETHYLAMINE SALT,"2,3,6-TBA, DIMETHYLAMINE SALT",,Shortname
801,Pesticides,2;4-D; ALKANOLAMINE SALTS (ETHANOL AND ISOPROPANOL AMINES),,,
802,Pesticides,2;4-D; BUTOXYETHANOL ESTER,,,
803,Pesticides,2;4-D; BUTOXYPROPYL ESTER,,,
804,Pesticides,2;4-D; BUTYL ESTER,,,
805,Pesticides,2;4-D; DIETHANOLAMINE SALT,,,
806,Pesticides,2;4-D; DIMETHYLAMINE SALT,,,
807,Pesticides,2;4-D; DODECYLAMINE SALT,,,
809,Pesticides,2;4-D; ISOOCTYL ESTER,,,
810,Pesticides,2;4-D; ISOPROPYL ESTER,,,
811,Pesticides,2;4-D; LITHIUM SALT,,,
812,Pesticides,2;4-D; PROPYLENE GLYCOL BUTYL ETHER ESTER,,,
813,Pesticides,2;4-D; SODIUM SALT,,,
814,Pesticides,2;4-D; TETRADECYLAMINE SALT,,,
815,Pesticides,2;4-D; TRIETHANOLAMINE SALT,,,
816,Pesticides,2;4-D; TRIISOPROPYLAMINE SALT,,,
818,Pesticides,2;4;5-T; ALKYLAMINE SALT,,,
819,Pesticides,2;4;5-T; BUTOXYETHANOL ESTER,,,
822,Pesticides,2;4;5-T; BUTYL ESTER,,,
824,Pesticides,2;4;5-T; BUTOXYPROPYL ESTER,,,
828,Pesticides,SILVEX; BUTOXYETHANOL ESTER,,,
829,Pesticides,SILVEX; ISOOCTYL ESTER,,,
831,Pesticides,CHLORAMBEN; AMMONIUM SALT,,,
833,Pesticides,3;4;5-TRIBROMO SALICYLANILIDE,,,
834,Pesticides,BROMOXYNIL OCTANOATE,,,
835,Pesticides,PICLORAM; ISOOCTYL ESTER,,,
836,Pesticides,4-CHLORO-2-CYCLOPENTYLPHENOL,,,
837,Pesticides,4-(2;4-DB); BUTOXYETHANOL ESTER,,,
838,Pesticides,4-(2;4-DB); DIMETHYLAMINE SALT,"4(2,4-DB), DIMETHYLAMINE SALT",,Typo
839,Pesticides,4';5-DIBROMOSALICYLANILIDE,,,
840,Pesticides,BROMACIL; DIMETHYLAMINE SALT,,,
842,Pesticides,BROMACIL; SODIUM SALT,,,
844,Pesticides,TRICLOCARBAN,,,
846,Pesticides,2-CHLORO-4-PHENYLPHENOL,,,
848,Pesticides,SODIUM THIOCYANATE,,,
849,Pesticides,DICAMBA; DIMETHYLAMINE SALT,,,
850,Pesticides,2;4;5-T; TRIETHYLAMINE SALT,,,
851,Pesticides,2;4;5-T; ISOOCTYL ESTER,,,
852,Pesticides,TRIMETHYL NONYL ETHER OF POLYETHYLENE GLYCOL,,,
853,Pesticides,PHENYLMERCURIC OLEATE,,,
854,Pesticides,SODIUM CARBONATE,,,
856,Pesticides,MONO (TRICHLORO) TETRA (MONOPOTASSIUM DICHLORO) PENTA-S-TRIAZINE,,,
857,Pesticides,DODECYL AMMONIUM METHANEARSONATE,,,
860,Pesticides,AMIDE-AMINE OLEATE FATTY ACIDS AND POLYAMINES; MIXED,,,
861,Pesticides,NAA; POTASSIUM SALT,,,
862,Pesticides,XYLENE RANGE AROMATIC SOLVENT,,,
864,Pesticides,ALPHA-ISOOCTYLPHENYL-OMEGA-HYDROXYPOLY(OXYETHYLENE),ISOOCTYL PHENOXY POLYETHOXY ETHANOL,,Shortname
865,Pesticides,OLEIC ACID; POTASSIUM SALT,,,
866,Pesticides,POTASSIUM ABEITATE,,,
870,Pesticides,NONYL PHENOXY POLYOXYETHYLENE ETHANOL-IODINE COMPLEX,,,
871,Pesticides,PHOSPHORIC ACID,,,
873,Pesticides,ESSENTIAL OILS,,,
874,Pesticides,ETHYLENE OXIDE - ALKYLATED CRESOL CONDENSATE,,,
875,Pesticides,2;4-D; DIETHYLAMINE SALT,,,
877,Pesticides,METHYL NONYL KETONE,,,
878,Pesticides,ALKYLARYL POLYETHER ALCOHOL,,,
